racepctblack,racePctWhite,racePctAsian,pctUrban,pctWFarmSelf,pctWInvInc,pctWPubAsst,pctWRetire,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctPopUnderPov,PctUnemployed,PctEmplManu,PctEmplProfServ,PctOccupManu,MalePctNevMarr,NumImmig,PersPerRentOccHous,PctHousLess3BR,MedNumBR,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
0.1,0.9259259259259257,0.0,0.58,0.4714285714285715,0.411764705882353,0.5147058823529412,0.9411764705882352,0.3529411764705882,0.3260869565217391,0.0,0.0,0.4366197183098592,0.4307692307692308,0.9315068493150684,0.39772727272727276,0.34848484848484845,0.5783132530120482,0.24561403508771934,0.0,0.5441176470588235,0.42028985507246375,1.0,0.6333333333333333,0.6595744680851063,0.9069767441860463,0.45833333333333337,0.06172839506172839,0.3214285714285714,0.15277777777777773,0.2380952380952381,0.25,0.0,0.9876543209876542,0.9268292682926831,0.7532467532467533,0.9850746268656718,0.75,0.023255813953488365,0.17857142857142858,0.08571428571428572
0.02,0.9814814814814813,0.027777777777777776,0.0,0.5571428571428572,0.411764705882353,0.5000000000000001,0.6588235294117646,0.338235294117647,0.5434782608695652,0.6956521739130436,0.33333333333333337,0.7183098591549296,0.4923076923076923,0.4109589041095891,0.840909090909091,0.34848484848484845,0.8433734939759036,0.17543859649122812,0.0,0.411764705882353,0.39130434782608703,1.0,0.75,0.6382978723404255,0.6395348837209301,0.28125000000000006,0.4074074074074074,0.5714285714285714,0.47222222222222204,0.32142857142857145,0.225,0.0,0.7901234567901233,0.5853658536585367,0.805194805194805,0.8208955223880596,0.33333333333333337,0.16279069767441862,0.0,0.28571428571428575
0.02,0.9629629629629629,0.027777777777777776,0.0,0.35714285714285715,0.588235294117647,0.16176470588235295,0.28235294117647053,0.6029411764705882,0.17391304347826086,0.5652173913043479,0.6333333333333334,0.5774647887323944,0.015384615384615384,0.2465753424657534,0.5454545454545455,0.5303030303030303,0.31325301204819284,0.3508771929824562,0.0,0.3676470588235294,0.3623188405797102,1.0,0.33333333333333326,0.0851063829787234,0.7906976744186045,0.5,0.08641975308641976,0.4107142857142857,0.27777777777777773,0.75,0.3375,0.0,0.6543209876543209,0.6463414634146343,0.5714285714285714,0.7611940298507462,0.8333333333333335,0.0,0.2857142857142857,0.05714285714285715
0.0,0.9814814814814813,0.027777777777777776,0.0,0.34285714285714286,0.2647058823529412,0.7647058823529413,0.4941176470588235,0.0,0.2608695652173913,0.4202898550724638,0.0,0.05633802816901409,0.6923076923076923,0.273972602739726,0.465909090909091,0.37878787878787873,0.5903614457831325,0.1228070175438597,0.0,0.27941176470588236,0.4782608695652175,1.0,0.7166666666666668,0.2127659574468085,0.37209302325581395,0.5625000000000001,0.4567901234567901,0.125,0.6944444444444443,0.2976190476190476,0.25,0.0,0.7901234567901233,0.475609756097561,0.6753246753246753,0.7313432835820897,0.33333333333333337,0.11627906976744187,0.03571428571428571,0.4571428571428572
0.16,0.7777777777777778,0.05555555555555555,1.0,0.28571428571428575,0.39705882352941174,0.4705882352941177,0.6588235294117646,0.5147058823529411,0.3260869565217391,0.3478260869565218,0.5833333333333334,0.4788732394366198,0.26153846153846155,0.3972602739726027,0.6477272727272728,0.46969696969696967,0.6987951807228916,0.4210526315789474,1.0,0.2647058823529412,0.6521739130434783,0.0,0.8166666666666667,0.2553191489361702,0.4999999999999999,0.34375000000000006,0.12345679012345678,0.35714285714285715,0.5694444444444443,0.6428571428571429,0.5625000000000001,0.0,0.6049382716049383,0.7682926829268293,0.857142857142857,0.7761194029850746,0.33333333333333337,0.6744186046511629,0.7142857142857143,0.17142857142857143
0.04,0.9074074074074073,0.19444444444444442,1.0,0.27142857142857146,0.5294117647058822,0.22058823529411767,0.4823529411764705,0.7058823529411764,0.41304347826086957,0.3768115942028986,0.5166666666666667,0.5492957746478874,0.2769230769230769,0.3013698630136986,0.3068181818181818,0.5303030303030303,0.22891566265060243,0.3859649122807018,0.2,0.23529411764705882,0.5217391304347826,1.0,0.6666666666666667,0.06382978723404255,0.2209302325581395,0.6770833333333334,0.14814814814814814,0.125,0.625,0.6190476190476191,0.19999999999999998,0.0,0.18518518518518517,0.34146341463414637,0.3246753246753246,0.4029850746268657,0.25,0.48837209302325585,0.5,0.3142857142857143
0.02,0.9629629629629629,0.05555555555555555,0.0,0.07142857142857144,0.3235294117647059,0.5441176470588236,0.6235294117647057,0.5,0.2826086956521739,0.1884057971014493,0.0,0.7323943661971832,0.5230769230769231,0.5890410958904109,0.7727272727272728,0.37878787878787873,0.9036144578313253,0.2982456140350878,0.0,0.4411764705882354,0.6811594202898551,0.0,0.3666666666666666,0.3617021276595745,0.4534883720930232,0.2604166666666667,0.7901234567901234,0.7678571428571428,0.7083333333333331,0.8809523809523809,0.7625,0.0,0.5185185185185185,0.39024390243902435,0.6623376623376622,0.462686567164179,1.0,0.023255813953488365,0.07142857142857142,0.34285714285714286
0.02,0.9629629629629629,0.16666666666666669,0.77,0.42857142857142855,0.7352941176470589,0.058823529411764705,0.4352941176470588,0.8235294117647058,0.6521739130434782,0.44927536231884063,0.3666666666666667,0.5915492957746479,0.07692307692307693,0.273972602739726,0.28409090909090906,0.6515151515151516,0.15662650602409642,0.3508771929824562,0.0,0.29411764705882354,0.07246376811594205,1.0,0.8333333333333333,0.23404255319148937,0.5581395348837209,0.7604166666666667,0.037037037037037035,0.0,0.5972222222222222,0.6785714285714285,0.4375,0.0,0.33333333333333337,0.6829268292682926,0.6233766233766234,0.6268656716417911,0.9166666666666667,0.04651162790697675,0.39285714285714285,0.14285714285714288
0.04,0.9814814814814813,0.0,1.0,0.42857142857142855,0.0735294117647059,0.7058823529411765,0.5411764705882351,0.6029411764705882,0.10869565217391304,0.26086956521739135,0.0,0.45070422535211274,0.6615384615384615,0.6712328767123288,0.840909090909091,0.07575757575757575,0.9156626506024097,0.2280701754385966,0.0,0.6764705882352942,0.49275362318840576,1.0,0.8833333333333333,0.8297872340425532,0.43023255813953487,0.45833333333333337,0.5061728395061728,0.125,0.5138888888888888,0.25,0.26249999999999996,0.0,0.6666666666666666,0.5487804878048781,0.6103896103896105,0.8507462686567164,0.16666666666666669,0.20930232558139536,0.03571428571428571,0.28571428571428575
0.02,0.9074074074074073,0.1388888888888889,0.0,0.3142857142857143,0.2647058823529412,0.7647058823529413,0.5058823529411763,0.23529411764705882,0.19565217391304346,0.5072463768115942,0.5333333333333333,0.29577464788732394,0.6615384615384615,0.547945205479452,0.36363636363636365,0.2727272727272727,0.6385542168674699,0.28070175438596495,0.0,0.4852941176470589,0.6811594202898551,0.0,0.6500000000000001,0.44680851063829785,0.4883720930232557,0.28125000000000006,0.49382716049382713,0.2857142857142857,0.5972222222222222,0.27380952380952384,0.3375,0.5,0.5061728395061728,0.32926829268292684,0.4675324675324675,0.5522388059701493,0.08333333333333334,0.3488372093023256,0.17857142857142858,0.6285714285714286
